2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker KO: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker AMD: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker CSCO: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker MRK: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker AMAT: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker LRCX: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker RTX: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker PM: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker MS: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker UNH: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker GS: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker WFC: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker TMUS: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker MCD: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker IBM: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker LIN: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker GEV: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker INTC: Invalid classes inferred from unique values of `y`.  Expected: [0 1 2], got [-1  0  1]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker PEP: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
2026-03-04 18:06:38 | WARNING | ⚠ treino_mk1 — erro no ticker VZ: Invalid classes inferred from unique values of `y`.  Expected: [0 1], got [-1  0]
