Símbolo,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário
CPAY,Technology,Software - Infrastructure,345.53,386.88,252.84,999100
EQR,Real Estate,REIT - Residential,63.285,75.86,58.38,3564900
FSLR,Technology,Solar,224.32,285.99,116.56,2367110
KEY,Financial Services,Banks - Regional,21.715,23.35,12.73,15236480
CHD,Consumer Defensive,Household & Personal Products,100.635,116.46,81.33,2429620
GIS,Consumer Defensive,Packaged Foods,44.575,67.35,42.79,7561980
BRO,Financial Services,Insurance Brokers,69.04,125.68,65.68,4453000
Q,Technology,Semiconductor Equipment & Materials,111.84,117.69,70.5,2560150
CTRA,Energy,Oil & Gas E&P,30.89,31.81,22.33,14982230
CMS,Utilities,Utilities - Regulated Electric,76.44,77.275,67.71,3560560
EFX,Industrials,Consulting Services,193.75,281.03,166.02,3119840
VLTO,Industrials,Pollution & Treatment Controls,93.79,110.11,83.865,3157720
BG,Consumer Defensive,Farm Products,120.07,124.78,68.33,1850620
AMCR,Consumer Cyclical,Packaging & Containers,49.495,52.25,38.35,7662940
L,Financial Services,Insurance - Property & Casualty,110.115,114.9,78.98,870910
DGX,Healthcare,Diagnostics & Research,204.33,213.2,157.2,1457490
DOW,Basic Materials,Chemicals,31.385,40.09,20.402,15243090
LH,Healthcare,Diagnostics & Research,269.57,293.72,209.38,724470
HUM,Healthcare,Healthcare Plans,185.55,315.35,169.61,3093140
RL,Consumer Cyclical,Apparel Manufacturing,367.955,380.0,176.61,954270
NI,Utilities,Utilities - Regulated Gas,46.8,47.0487,35.64,5615240
TSN,Consumer Defensive,Farm Products,62.545,66.41,50.56,2797270
PKG,Consumer Cyclical,Packaging & Containers,243.65,249.51,172.72,1009800
LDOS,Technology,Information Technology Services,170.4,205.77,123.62,988440
SBAC,Real Estate,REIT - Specialty,203.48,245.16,177.49,965290
OMC,Communication Services,Advertising Agencies,67.87,89.27,66.33,5262010
CHRW,Industrials,Integrated Freight & Logistics,180.8,203.34,84.68,4156070
IFF,Basic Materials,Specialty Chemicals,82.43,86.45,59.14,2236090
JBHT,Industrials,Integrated Freight & Logistics,222.435,234.82,122.79,1488870
DD,Basic Materials,Specialty Chemicals,50.605,52.66,22.497908,6211910
NVR,Consumer Cyclical,Residential Construction,7370.81,8618.28,6562.85,27520
TROW,Financial Services,Asset Management,93.635,118.22,77.85,3131900
CNC,Healthcare,Healthcare Plans,41.51,66.03,25.08,7872170
LULU,Consumer Cyclical,Apparel Retail,173.73,374.41,159.25,2262750
