Símbolo,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário
ECL,Basic Materials,Specialty Chemicals,303.0,306.52,221.62,1542220
ADP,Technology,Software - Application,211.71,329.93,208.62,4075240
MRSH,Financial Services,Insurance Brokers,175.7351,248.0,170.37,3837560
EMR,Industrials,Specialty Industrial Machinery,149.23,165.15,90.06,5707160
REGN,Healthcare,Biotechnology,791.42,821.11,476.49,835360
CMI,Industrials,Specialty Industrial Machinery,595.7509,617.98,260.02,1442380
BK,Financial Services,Banks - Diversified,119.245,128.76,70.46,4265070
CRH,Basic Materials,Building Materials,122.295,131.55,76.75,4421980
SNPS,Technology,Software - Infrastructure,420.66,651.73,365.74,2936150
MNST,Consumer Defensive,Beverages - Non-Alcoholic,82.325,83.24,48.95,7231460
PWR,Industrials,Engineering & Construction,533.51,543.28,227.08,1191810
ORLY,Consumer Cyclical,Auto Parts,94.34,108.72,85.552,7468240
CDNS,Technology,Software - Application,290.6,376.45,221.56,3458020
CTAS,Industrials,Specialty Business Services,195.15,229.24,180.39,2193160
CL,Consumer Defensive,Household & Personal Products,96.18,100.18,74.55,7475990
DELL,Technology,Computer Hardware,116.895,168.08,66.25,8379270
MSI,Technology,Communication Equipment,467.77,492.22,359.36,1376200
CI,Healthcare,Healthcare Plans,292.665,350.0,239.51,2266300
MDLZ,Consumer Defensive,Confectioners,59.725,71.15,51.2,13319190
ELV,Healthcare,Healthcare Plans,346.15,458.75,273.71,1722390
CSX,Industrials,Railroads,40.82,41.79,26.22,14122830
MCO,Financial Services,Financial Data & Stock Exchanges,425.59,546.88,378.71,2282450
ABNB,Consumer Cyclical,Travel Services,125.66,162.576,99.88,6228900
SLB,Energy,Oil & Gas Equipment & Services,49.705,52.4,31.11,20252980
HLT,Consumer Cyclical,Lodging,319.0,333.86,196.04,2545600
TDG,Industrials,Aerospace & Defense,1296.15,1623.83,1183.6,552960
GM,Consumer Cyclical,Auto Manufacturers,80.51,87.62,41.6,7991020
APO,Financial Services,Asset Management,125.405,164.22,102.58,5813910
WBD,Communication Services,Entertainment,28.775,30.0,7.52,24128910
KMI,Energy,Oil & Gas Midstream,31.99,32.57,23.94,14180580
NSC,Industrials,Railroads,316.42,319.94,201.63,1359540
AEP,Utilities,Utilities - Regulated Electric,130.61,132.78,97.46,3915970
DASH,Consumer Cyclical,Internet Retail,163.78,285.5,155.4,6205730
COR,Healthcare,Medical Distribution,360.71,377.54,237.71,1670440
RSG,Industrials,Waste Management,224.715,258.75,201.42,1531160
AON,Financial Services,Insurance Brokers,323.485,412.97,304.59,2251930
TEL,Technology,Electronic Components,232.98,250.67,116.3,2741840
HOOD,Financial Services,Capital Markets,75.98,153.86,29.66,52273460
PCAR,Industrials,Farm & Heavy Construction Machinery,127.495,131.88,84.65,3759640
TFC,Financial Services,Banks - Regional,52.305,56.2,33.56,10603230
SPG,Real Estate,REIT - Retail,199.3,201.4,136.34,1925750
LHX,Industrials,Aerospace & Defense,347.14,369.59,193.09,1246690
EOG,Energy,Oil & Gas E&P,119.26,135.87,101.59,5172060
TRV,Financial Services,Insurance - Property & Casualty,298.84,304.4,230.43,1943250
PSX,Energy,Oil & Gas Refining & Marketing,158.36,163.79,91.01,2624320
ROST,Consumer Cyclical,Apparel Retail,196.785,198.9799,122.36,2431940
AZO,Consumer Cyclical,Auto Parts,3780.475,4388.11,3210.72,140800
APD,Basic Materials,Specialty Chemicals,278.4,321.47,229.11,1432920
DLR,Real Estate,REIT - Specialty,180.185,184.79,129.95,2447930
FTNT,Technology,Software - Infrastructure,82.54,114.82,70.12,9183450
SRE,Utilities,Utilities - Diversified,93.75,95.74,61.9,4542410
NXPI,Technology,Semiconductors,242.8,256.36,148.09,4172590
O,Real Estate,REIT - Retail,66.255,66.365,50.71,7038650
VLO,Energy,Oil & Gas Refining & Marketing,198.185,206.77,99.0,3027800
AFL,Financial Services,Insurance - Life,115.25,119.32,96.95,2644520
VST,Utilities,Utilities - Independent Power Producers,176.22,219.82,90.51,6964100
BKR,Energy,Oil & Gas Equipment & Services,59.94,62.27,33.6,9965240
MPC,Energy,Oil & Gas Refining & Marketing,200.055,210.32,115.1,2561500
MPWR,Technology,Semiconductors,1171.94,1250.0,438.86,857970
D,Utilities,Utilities - Regulated Electric,66.32,67.5699,48.07,5397250
F,Consumer Cyclical,Auto Manufacturers,14.055,14.5,8.44,82749560
CARR,Industrials,Building Products & Equipment,66.69,81.09,50.24,9821430
URI,Industrials,Rental & Leasing Services,867.41,1021.47,525.91,861200
AJG,Financial Services,Insurance Brokers,212.62,351.23,195.0,3449700
ALL,Financial Services,Insurance - Property & Casualty,209.69,216.75,176.0,2022710
GWW,Industrials,Industrial Distribution,1135.4,1218.63,893.99,441570
OKE,Energy,Oil & Gas Midstream,85.415,103.64,64.02,4497530
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,126.795,177.0,115.25,5098560
AME,Industrials,Specialty Industrial Machinery,231.255,239.94,145.02,1700380
FAST,Industrials,Industrial Distribution,46.255,50.63,35.305,10202360
CAH,Healthcare,Medical Distribution,224.4,230.81,120.72,2033630
PSA,Real Estate,REIT - Industrial,299.995,322.49,256.54,1212490
TGT,Consumer Defensive,Discount Stores,115.146,131.7,83.44,7089580
CTVA,Basic Materials,Agricultural Inputs,75.56,77.41,53.4,4763670
MET,Financial Services,Insurance - Life,77.455,87.39,65.21,4731440
BDX,Healthcare,Medical Instruments & Supplies,177.3199,185.01572,127.58648,4335618
IDXX,Healthcare,Diagnostics & Research,628.72,769.98,356.14,612000
EA,Communication Services,Electronic Gaming & Multimedia,199.55,204.89,128.02,4426400
CMG,Consumer Cyclical,Restaurants,37.725,58.42,29.75,24933060
TER,Technology,Semiconductor Equipment & Materials,311.94,327.99,65.77,5400440
CVNA,Consumer Cyclical,Auto & Truck Dealerships,344.59,486.89,148.25,3820100
EXC,Utilities,Utilities - Regulated Electric,48.1651,49.09,41.71,10593620
TRGP,Energy,Oil & Gas Midstream,224.55,225.91,144.14,1329870
XEL,Utilities,Utilities - Regulated Electric,81.24,83.01,65.21,5674400
ADSK,Technology,Software - Application,226.59,329.09,216.01,2808150
FIX,Industrials,Engineering & Construction,1362.82,1399.0,276.44,398360
DHI,Consumer Cyclical,Residential Construction,165.23,184.55,110.44,3413980
FITB,Financial Services,Banks - Regional,53.11,55.44,32.25,14557100
ETR,Utilities,Utilities - Regulated Electric,105.19,106.7099,75.57,3380260
FANG,Energy,Oil & Gas E&P,166.19,172.8,114.0,2029180
DAL,Industrials,Airlines,70.86,76.39,34.74,9028220
EW,Healthcare,Medical Devices,79.51,87.89,65.94,6178310
COIN,Financial Services,Financial Data & Stock Exchanges,169.9,444.65,139.36,17662660
NDAQ,Financial Services,Financial Data & Stock Exchanges,80.21,101.79,64.84,8375120
CCL,Consumer Cyclical,Travel Services,32.705,34.03,15.07,22604320
OXY,Energy,Oil & Gas E&P,45.545,52.58,34.78,11098520
WAB,Industrials,Railroads,260.18,262.4,151.81,1112130
YUM,Consumer Cyclical,Restaurants,160.19,165.32,137.33,2376990
KR,Consumer Defensive,Grocery Stores,70.125,74.9,58.6,7807250
HSY,Consumer Defensive,Confectioners,215.405,234.87,150.04,2994010
PEG,Utilities,Utilities - Regulated Electric,87.15,91.26,74.67,2686500
DDOG,Technology,Software - Application,123.38,201.69,81.63,8312590
AMP,Financial Services,Asset Management,474.385,552.43,396.14,933160
ROK,Industrials,Specialty Industrial Machinery,383.63,438.72,215.0,1555620
SYY,Consumer Defensive,Food Distribution,89.66,91.755,67.12,4684210
MCHP,Technology,Semiconductors,78.82,83.35,34.13,12105160
CIEN,Technology,Communication Equipment,300.82,308.81,49.21,6414830
AIG,Financial Services,Insurance - Diversified,78.805,88.07,71.25,4447940
NUE,Basic Materials,Steel,181.945,196.9,97.59,2004960
CBRE,Real Estate,Real Estate Services,140.945,174.27,108.45,3724490
GRMN,Technology,Scientific & Technical Instruments,216.35,261.69,169.26,1026270
ED,Utilities,Utilities - Regulated Electric,114.35,115.14,94.5,2010810
VTR,Real Estate,REIT - Healthcare Facilities,85.99,87.2,60.15,3595560
VMC,Basic Materials,Building Materials,306.41,331.09,215.08,1263670
MLM,Basic Materials,Building Materials,666.21,710.97,441.95,595270
ODFL,Industrials,Trucking,192.65,209.61,126.01,3617190
KEYS,Technology,Scientific & Technical Instruments,233.785,242.62,121.43,1149360
PCG,Utilities,Utilities - Regulated Electric,18.14,18.38,12.97,24102390
CCI,Real Estate,REIT - Specialty,91.45,115.76,77.01,5067550
EL,Consumer Defensive,Household & Personal Products,110.24,121.64,48.37,6299830
HIG,Financial Services,Insurance - Diversified,143.22,144.5,107.49,1763160
KDP,Consumer Defensive,Beverages - Non-Alcoholic,29.145,36.12,25.03,10532780
IR,Industrials,Specialty Industrial Machinery,99.41,100.96,65.61,7149140
LVS,Consumer Cyclical,Resorts & Casinos,57.27,70.45,30.18,5985560
MSCI,Financial Services,Financial Data & Stock Exchanges,524.18,626.28,486.74,1066140
NRG,Utilities,Utilities - Independent Power Producers,176.94,180.54,79.57,2292590
PYPL,Financial Services,Credit Services,41.32,79.5,38.46,42835830
WEC,Utilities,Utilities - Regulated Electric,116.34,118.19,100.61,3025040
WDAY,Technology,Software - Application,143.0819,281.0,139.91,5799770
