Ticker,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário,Market Cap,P/L,P/L Futuro,P/VP,PEG Ratio,Margem Lucro,ROE,ROA,Crescimento Receita,Dividend Yield,Beta,Dívida/Patrimônio,Short Ratio
ODFL,Industrials,Trucking,196.97,208.74,126.01,2484180,41396817920,40.612373,32.846836,9.542195,,0.18625,0.2393,0.15521,-0.057,0.6,1.269,0.928,8.14
VTR,Real Estate,REIT - Healthcare Facilities,86.53,87.24,60.15,3550030,41098739712,160.24074,89.51349,3.2805095,,0.04321,0.0217,0.02178,0.214,2.4,0.772,101.996,5.35
PCG,Utilities,Utilities - Regulated Electric,18.4561,18.56,12.97,22381770,40565915648,15.640764,10.26588,1.3102442,,0.10399,0.08207,0.02427,0.026,1.08,0.374,187.043,2.05
NUE,Basic Materials,Steel,176.3973,196.9,97.59,1760660,40370049024,23.488321,12.979656,1.9319777,,0.05367,0.09361,0.04814,0.086,1.25,1.843,32.187,2.71
PYPL,Financial Services,Credit Services,43.745,79.5,38.46,28510710,40930095104,8.085952,7.52007,1.9868737,,0.15775,0.25732002,0.048800003,0.037,1.27,1.419,60.703,2.81
MSCI,Financial Services,Financial Data & Stock Exchanges,547.37,626.28,486.74,891140,41129127936,34.93108,24.83868,-15.168907,,0.38358003,,0.19174999,0.106,1.52,1.281,,3.35
ED,Utilities,Utilities - Regulated Electric,110.7225,115.25,94.96,2212410,39963693056,19.357082,17.176186,1.65292,,0.11958,0.08767,0.03187,0.089,3.07,0.388,117.317,5.02
HIG,Financial Services,Insurance - Diversified,139.9,144.5,107.49,1590520,39018147840,10.503003,9.654728,2.0778563,,0.13518,0.21656,0.0372,0.067,1.71,0.603,23.937,3.57
EBAY,Consumer Cyclical,Internet Retail,85.65,101.15,58.71,7580280,39142051840,18.99113,12.913157,8.333334,,0.18297,0.40847,0.077989995,0.15,1.47,1.38,155.623,3.06
GEHC,Healthcare,Medical Devices,84.64,92.198,57.65,3661480,38574657536,18.602198,15.204398,3.7165189,,0.10104,0.22378,0.05472,0.071,0.17,1.231,98.717,3.02
CCI,Real Estate,REIT - Specialty,88.25,115.76,77.01,3628200,38431023104,35.01984,31.515156,-23.476988,,0.10413,,0.04058,-0.35,4.85,0.984,,2.64
NRG,Utilities,Utilities - Independent Power Producers,176.2475,182.04,79.57,2097690,38049968128,26.344917,15.653337,25.669603,,0.04839,0.64186996,0.06809,0.057,1.08,1.282,615.076,2.26
WEC,Utilities,Utilities - Regulated Electric,114.655,118.19,100.61,2474580,37315788800,23.836798,19.08458,2.741041,,0.15893,0.11576,0.030199999,0.111,3.29,0.583,159.331,6.94
TTWO,Communication Services,Electronic Gaming & Multimedia,201.1701,264.79,188.56,3014450,37251764224,,25.70263,10.652375,,-0.60449004,-0.86217004,-0.00248,0.249,,0.931,100.449,4.92
LVS,Consumer Cyclical,Resorts & Casinos,55.43,70.45,30.18,4387600,37491654656,23.595745,14.887185,23.535654,,0.124989994,0.73263,0.08997,0.26,1.88,0.885,829.059,1.76
IR,Industrials,Specialty Industrial Machinery,94.24,100.96,65.61,5361320,37235204096,64.9931,24.227156,3.6531377,,0.07599,0.057729997,0.05199,0.101,0.09,1.309,50.699,5.78
LYV,Communication Services,Entertainment,158.14,175.25,112.88,3510110,36721569792,114.5942,67.20696,136.56303,,0.01968,0.36701,0.038900003,0.111,,1.138,572.032,6.55
KMB,Consumer Defensive,Household & Personal Products,110.46,150.45,96.26,5191550,36664143872,22.728394,14.362914,24.411049,,0.122880004,1.26603,0.09612001,-0.006,4.63,0.277,464.785,5.29
RMD,Healthcare,Medical Instruments & Supplies,251.635,293.81,199.92,1199720,36730224640,24.865118,20.660435,5.798843,,0.27526,0.25676,0.14745,0.11,0.92,0.877,13.411,11.31
DDOG,Technology,Software - Application,103.95,201.69,81.63,8223190,36452225024,335.32257,39.310226,9.8186455,,0.03144,0.03343,-0.0043,0.292,,1.286,34.269,1.68
EQT,Energy,Oil & Gas E&P,58.23,62.23,43.57,10127460,36351475712,17.592146,12.522042,1.5299125,,0.24927,0.09007,0.053460002,0.269,1.12,0.728,28.932,1.87
KVUE,Consumer Defensive,Household & Personal Products,18.9399,25.17,14.02,54894420,36288552960,24.920921,15.7900915,3.3712885,,0.097200006,0.14388,0.06609,0.032,4.38,0.551,80.576,1.14
EME,Industrials,Engineering & Construction,806.45,835.0,320.89,379700,36101431296,32.452717,29.075668,10.823524,,0.06959,0.37088,0.12044,0.164,0.2,1.161,12.915,2.48
ROP,Technology,Software - Application,335.745,595.17,313.07,2095600,36138729472,23.644014,14.388752,1.8001834,,0.19441,0.07929,0.04239,0.097,1.08,0.93,46.782,1.54
UAL,Industrials,Airlines,110.64,119.21,52.0,5367890,35818369024,10.847059,7.245665,2.3418846,,0.056760002,0.23987,0.04231,0.048,,1.263,203.089,2.3
A,Healthcare,Diagnostics & Research,124.99,160.27,96.43,2336530,35434524672,27.350107,19.082996,5.2483726,,0.18754,0.20618999,0.08485,0.094,0.82,1.298,52.559,2.19
ACGL,Financial Services,Insurance - Diversified,98.458,103.39,82.45,2104940,35703427072,8.487759,9.745422,1.5056353,,0.22073,0.19540001,0.04437,0.085,,0.381,11.274,3.17
STT,Financial Services,Asset Management,126.42,137.05,72.81,1776300,35310678016,13.448936,9.713214,1.4529698,,0.21209998,0.11078,0.00819,0.076,2.69,1.442,,2.41
OTIS,Industrials,Specialty Industrial Machinery,90.145,106.828,84.003,4340060,35130933248,25.755713,18.646381,-6.5166626,,0.0959,,0.13519,0.033,1.86,1.012,,3.02
TPL,Energy,Oil & Gas E&P,508.48,547.2,269.23334,786700,35055403008,72.74393,6.954048,24.02684,,0.60308,0.37152,0.25817,0.139,0.48,0.928,1.219,13.1
PRU,Financial Services,Insurance - Life,100.025,119.76,90.38,2287570,34808700928,10.012513,6.4388986,1.0729073,,0.0584,0.11359999,0.00424,0.312,5.4,0.951,124.482,4.47
HBAN,Financial Services,Banks - Regional,16.9603,19.46,11.92,28849530,34425888768,12.201655,8.851932,1.2303447,,0.28744,0.10095,0.01038,0.103,3.63,0.959,,2.88
AXON,Industrials,Aerospace & Defense,433.09,885.92,396.41,966690,34403483648,136.19182,57.212646,11.284556,,0.100509994,0.10028,-0.00032000002,0.306,,1.483,69.33,3.35
CPRT,Industrials,Specialty Business Services,35.245,63.85,33.81,12273580,34117781504,21.6227,20.701786,3.4823632,,0.33758,0.17129,0.109919995,-0.036,,1.083,0.98,4.28
WDAY,Technology,Software - Application,129.94,281.0,125.83,5507300,34693980160,55.059326,12.116883,3.8634675,,0.06955,0.073359996,0.03178,0.126,,1.124,42.719,2.87
MTB,Financial Services,Banks - Regional,219.01,239.0,150.75,1219680,34224537600,12.890524,10.3847,1.2622981,,0.3104,0.09797,0.01352,0.047,2.7,0.577,,4.53
DG,Consumer Defensive,Discount Stores,152.325,155.0,70.01,2564400,33529606144,26.30829,21.233278,4.095859,,0.03033,0.16450001,0.04191,0.046,1.54,0.255,201.663,2.41
IRM,Real Estate,REIT - Specialty,112.225,112.99,72.33,2607900,33200105472,229.03061,43.81701,-33.833282,,0.02095,,0.04405,0.166,3.11,1.179,,4.73
ADM,Consumer Defensive,Farm Products,67.515,70.09,40.98,3466590,32445665280,30.275784,14.485431,1.42557,,0.01343,0.04721,0.01706,-0.137,3.07,0.682,42.376,3.68
WAT,Healthcare,Diagnostics & Research,328.195,414.15,275.05,2334340,32192493568,30.529768,20.156477,7.630135,,0.20302,0.29279,0.118879996,0.068,,1.178,54.952,4.72
VICI,Real Estate,REIT - Diversified,30.07,34.03,27.48,9213900,32139157504,11.433459,10.513987,1.1613625,,0.70175004,0.10357001,0.05009,0.044,5.84,0.705,62.925,2.64
TDY,Technology,Scientific & Technical Instruments,681.36,684.74,419.0,337390,31990523904,36.050793,26.46271,2.9930813,,0.14632,0.08926,0.04921,0.073,,1.014,25.13,2.61
IBKR,Financial Services,Capital Markets,71.56,79.18,32.82,4353500,121647529984,32.234234,25.988836,5.9425344,,0.15858,0.23507999,0.02466,0.186,0.45,1.224,120.995,2.01
PAYX,Technology,Software - Application,88.6,161.24,86.89,4556340,31804516352,20.045248,14.993163,8.196873,,0.26446,0.40884998,0.116359994,0.183,4.94,0.888,129.814,5.54
EXR,Real Estate,REIT - Industrial,149.25,162.77,121.03,1566990,33074018304,33.389263,30.266466,2.346071,,0.28261998,0.07008,0.03351,0.046,4.31,1.264,98.679,3.6
FISV,,,58.6,238.59,57.79,10299680,31854557184,9.242902,6.4767056,1.2132505,,,,,,,,,
TPR,Consumer Cyclical,Luxury Goods,154.17,158.28,58.39,2428020,31550853120,59.525097,21.44741,56.70099,,0.0695,0.55337,0.15020001,0.14,1.05,1.608,715.475,6.17
XYL,Industrials,Specialty Industrial Machinery,127.835,154.27,100.47,2638890,31140605952,32.61097,20.999416,2.7137156,,0.10592,0.08396,0.04857,0.063,1.35,1.163,16.529,3.14
DOV,Industrials,Specialty Industrial Machinery,231.06,237.54,143.04,1405600,31690620928,29.027637,20.122498,4.2075167,,0.13518,0.15285,0.06965,0.088,0.9,1.289,48.404,2.69
XYZ,Technology,Software - Infrastructure,51.005,82.5,44.27,9680740,31091832832,10.262576,15.79332,1.3806404,,0.13081001,0.14692001,0.0226,0.023,,2.668,36.049,3.15
CBOE,Financial Services,Financial Data & Stock Exchanges,293.08,294.28,200.88,846400,30669211648,28.153698,23.266502,5.9689207,,0.23334,0.2336,0.11123,0.087,0.96,0.347,30.958,2.87
AEE,Utilities,Utilities - Regulated Electric,110.1367,112.66,91.77,2379170,30441785344,21.180136,18.966982,2.2716093,,0.1719,0.11337,0.03053,-0.088,2.7,0.586,147.125,5.14
ULTA,Consumer Cyclical,Specialty Retail,687.0099,714.97,309.01,476090,30804400128,26.362621,24.113869,11.611566,,0.09932,0.47967,0.15153,0.129,,0.832,97.784,4.02
RJF,Financial Services,Asset Management,154.02,177.66,117.57,1934040,30414315520,15.055719,11.197334,2.4294908,,0.14758,0.17124,0.024530001,0.057,1.41,0.996,46.262,6.24
ATO,Utilities,Utilities - Regulated Gas,181.44,182.69,141.59,1220230,30017243136,23.655802,20.639923,2.1015568,,0.25667998,0.09237,0.03648,0.142,2.2,0.758,67.443,2.66
DTE,Utilities,Utilities - Regulated Electric,144.335,154.63,123.69,1616930,29993357312,20.531294,17.39762,2.4371855,,0.09245,0.12177,0.02943,0.289,3.09,0.484,213.601,2.47
CTSH,Technology,Information Technology Services,61.835,87.03,60.235,9889710,29844443136,13.560307,10.052461,1.972597,,0.10564999,0.15158,0.102290004,0.049,2.16,0.957,7.819,5.74
HAL,Energy,Oil & Gas Equipment & Services,35.02,35.85,18.72,10979960,29473765376,23.346666,13.025609,2.7953384,,0.05783,0.12274,0.07374,0.008,1.93,0.75,79.162,2.22
CHTR,Communication Services,Telecom Services,229.71,437.06,180.38,1759460,29726625792,6.3420763,4.668673,1.8119217,,0.09105,0.28667998,0.054840002,-0.023,,1.047,482.329,8.12
KHC,Consumer Defensive,Packaged Foods,24.555,33.35,21.985,17863550,29066852352,,11.438328,0.6978033,,-0.23437999,-0.12837,0.03498,-0.034,6.52,0.047,52.1,4.75
ROL,Consumer Cyclical,Personal Services,60.055,66.14,49.73,5400910,28891994112,55.09633,42.668457,21.027662,,0.14004,0.38944,0.15293999,0.097,1.21,0.788,75.529,3.83
BIIB,Healthcare,Drug Manufacturers - General,197.19,202.41,110.04,1264610,28939315200,22.407955,12.142129,1.5855747,,0.13071999,0.07394,0.0614,-0.071,,0.164,36.466,3.15
FE,Utilities,Utilities - Regulated Electric,50.07,50.83,37.58,5749020,28923713536,21.769566,16.982725,2.312809,,0.06845,0.09195,0.038340002,0.207,3.69,0.62,192.755,6.24
LEN,Consumer Cyclical,Residential Construction,116.42,144.24,98.42,2265810,28754196480,14.588972,13.204757,1.3094583,,0.06079,0.08406,0.04717,-0.058,1.72,1.461,27.728,2.5
FICO,Technology,Software - Application,1206.385,2217.6,1205.18,231270,28618027008,44.61483,22.905766,-15.8547125,,0.31886998,,0.34764,0.164,,1.269,,4.46
EIX,Utilities,Utilities - Regulated Electric,74.4,75.5,47.73,3789280,28631652352,9.750983,11.439045,1.6759399,,0.23083,0.24103001,0.03809,0.308,4.7,0.829,215.738,3.59
MTD,Healthcare,Diagnostics & Research,1396.63,1525.17,946.69,149370,28530978816,33.189877,27.317738,-1202.9543,,0.21587,,0.20354,0.081,,1.436,,4.2
JBL,Technology,Electronic Components,269.5613,277.87,108.66,1081170,28795336704,42.118954,19.989359,21.424362,,0.0226,0.47823003,0.051620003,0.187,0.12,1.24,255.828,3.06
PPG,Basic Materials,Specialty Chemicals,126.14,133.43,90.24,1993630,28469796864,18.228323,14.475506,3.5490406,,0.09928001,0.21077,0.063930005,0.05,2.27,1.16,97.592,3.08
TSCO,Consumer Cyclical,Specialty Retail,53.4854,63.99,46.85,5246900,28261877760,25.963787,22.252392,10.919846,,0.07061,0.45183998,0.08844,0.033,1.78,0.726,230.228,4.39
HUBB,Industrials,Electrical Equipment & Parts,528.26,533.8,299.425,579860,28083146752,31.93833,24.487011,7.3109503,,0.15178001,0.24542,0.10027,0.119,1.1,1.005,64.473,5.32
ES,Utilities,Utilities - Regulated Electric,74.82,75.25,52.28,3100080,28094656512,16.407894,14.436351,1.7341522,,0.124919996,0.10777,0.031689998,0.134,4.21,0.792,184.946,2.14
STLD,Basic Materials,Steel,191.81,208.47,103.17,1325460,28235313152,23.97625,12.213479,3.1184561,,0.06523,0.13284001,0.05885,0.14,1.04,1.448,47.155,2.81
DXCM,Healthcare,Medical Devices,72.48,91.87,54.11,5780510,28268380160,34.67943,24.251348,10.156951,,0.17939,0.34497002,0.088870004,0.131,,1.488,50.852,2.71
WTW,Financial Services,Insurance Brokers,292.49,352.79,275.6,1611940,28005511168,17.988314,13.039351,3.4867141,,0.16533001,0.20076,0.049310002,-0.033,1.26,0.619,85.73,4.61
IQV,Healthcare,Diagnostics & Research,163.61,247.05,134.65,3517080,27862784000,20.868622,11.646349,4.267011,,0.083380006,0.21438,0.05053,0.103,,1.361,245.928,3.85
CNP,Utilities,Utilities - Regulated Electric,42.475,43.2,33.24,7552270,27730579456,26.88291,20.3553,2.4863899,,0.11243,0.096429996,0.02892,0.107,2.15,0.593,206.599,7.2
PPL,Utilities,Utilities - Regulated Electric,37.44,38.27,32.5,13261690,27695835136,25.469387,17.72895,1.8895731,,0.13061,0.08157,0.03095,0.028,3.06,0.723,131.147,5.16
STZ,Consumer Defensive,Beverages - Brewers,158.92,196.91,126.45,2491160,27666997248,24.90909,12.857397,3.5734844,,0.11826,0.14454001,0.08804,-0.098,2.56,0.44,133.293,3.07
ON,Technology,Semiconductors,69.78,73.76,31.04,10046480,28079978496,240.63795,17.352419,3.6081383,,0.020179998,0.01498,0.05001,-0.112,,1.542,42.294,3.94
PHM,Consumer Cyclical,Residential Construction,140.9,144.5,88.07,1701830,27098998784,12.670863,12.475408,2.091187,,0.12816,0.17673999,0.10585,-0.063,0.74,1.343,18.453,3.8
HPE,Technology,Communication Equipment,20.145,26.44,11.965,15989840,26884169728,,7.3792562,1.0757196,,0.00166,0.0023,0.0149,0.144,2.85,1.321,97.265,5.8
DVN,Energy,Oil & Gas E&P,43.155,46.15,25.89,10213090,26767505408,10.348921,10.322186,1.72862,,0.16473,0.17736,0.07715,-0.121,2.2,0.625,55.951,2.0
WRB,Financial Services,Insurance - Property & Casualty,70.44,78.96,60.68,2098750,26768693248,15.829215,14.544344,2.7307618,,0.120979995,0.19600001,,0.015,0.51,0.36,31.481,7.05
FSLR,Technology,Solar,247.4143,285.99,116.56,2244580,26549569536,18.988052,10.663381,2.9449527,,0.27728,0.16864,0.0756,0.797,,1.626,9.893,3.18
CFG,Financial Services,Banks - Regional,61.78,68.79,32.6,5154760,26533656576,16.005182,9.815354,1.0955455,,0.23969,0.07241,0.00825,0.107,2.94,1.071,,2.64
VRSK,Industrials,Consulting Services,188.305,322.92,164.6,3172870,26309027840,28.97,21.963274,84.328255,,0.2956,4.3794603,0.16462,,1.1,0.804,1581.795,3.02
NTRS,Financial Services,Asset Management,140.49,157.6,81.62,1113280,26569101312,16.074371,12.616544,2.168357,,0.21459,0.13492,0.01044,0.082,2.24,1.276,,1.76
DLTR,Consumer Defensive,Discount Stores,131.4818,142.4,61.8,3075250,26818058240,24.901854,19.525473,7.615952,,-0.15397,0.20066999,0.05111,0.094,,0.744,221.055,4.45
OMC,Communication Services,Advertising Agencies,82.68,89.27,66.33,7611120,26237605888,12.19469,6.4865375,2.1490395,,-0.00316,0.00479,0.03767,0.279,3.96,0.744,86.307,6.53
AWK,Utilities,Utilities - Regulated Water,132.855,155.5,121.28,2228580,25934446592,23.348856,20.259512,2.392749,,0.21615,0.10496,0.0347,0.058,2.49,0.78,146.987,6.5
ARES,Financial Services,Asset Management,116.15,195.26,110.63,4102560,38053597184,68.32353,14.881372,8.492981,,0.09415,0.13579,,0.195,4.71,1.524,147.431,3.95
FIS,Technology,Information Technology Services,48.1799,82.74,46.16,5853910,25168148480,150.5622,7.189592,1.804288,,0.0146200005,0.011829999,0.04289,0.057,3.46,0.9,94.272,4.5
CINF,Financial Services,Insurance - Property & Casualty,160.34,174.27,123.02,842050,25016006656,10.562582,17.421955,1.566019,,0.18945,0.16036,0.04892,0.218,2.21,0.646,5.568,3.49
AVB,Real Estate,REIT - Residential,176.1975,230.21,166.73,1036200,24948674560,23.77834,33.732597,2.0988636,,0.34569,0.088879995,0.026700001,0.03,4.04,0.754,78.826,4.58
WSM,Consumer Cyclical,Specialty Retail,208.23,222.0,130.07,1032790,24858644480,22.983442,22.757252,12.123311,,0.14297,0.56918997,0.17867,0.046,1.31,1.642,70.88,8.22
CHD,Consumer Defensive,Household & Personal Products,104.8,116.46,81.33,2070900,25165633536,34.70199,25.932762,6.1942196,,0.11878,0.1762,0.08202,0.039,1.17,0.468,59.517,3.67
LUV,Industrials,Airlines,50.515,55.11,23.82,10179380,26124087296,63.943035,10.557963,3.263243,,0.01571,0.04812,0.009509999,0.074,1.41,1.107,74.94,3.11
RF,Financial Services,Banks - Regional,28.505,31.53,17.74,12719610,24995362816,12.393478,9.984762,1.3999116,,0.30556,0.1165,0.01361,0.156,3.64,1.027,,3.88
DRI,Consumer Cyclical,Restaurants,213.71,228.27,169.0,1164850,24857413632,22.424974,18.755919,11.844483,,0.08924,0.54104,0.07198,0.073,2.8,0.614,401.269,3.61
Q,Technology,Semiconductor Equipment & Materials,116.93,117.87,70.5,2702060,24492531712,44.80077,37.516644,2.6847131,,0.17256,,,0.112,0.13,,19.676,1.27
SYF,Financial Services,Credit Services,70.115,88.77,40.545,5535290,25253396480,7.5554957,6.7030134,1.5670257,,0.36408,0.21304001,0.029779999,0.05,1.74,1.402,,2.69
STE,Healthcare,Medical Devices,247.17,269.44,204.9,911130,24258996224,34.4728,22.272022,3.3890939,,0.12144,0.10468,0.06606,0.092,1.0,1.044,28.651,3.21
EQR,Real Estate,REIT - Residential,63.505,75.86,58.38,3618610,24902760448,21.60034,41.70087,2.1763194,,0.36202,0.100200005,0.02615,0.02,4.37,0.76,74.323,3.6
EXE,Energy,Oil & Gas E&P,101.13,126.621,91.015,5486100,24086099968,32.517685,10.883415,1.3023657,,0.15628,0.100659996,0.05863,0.383,3.09,0.449,27.495,2.53
EXPE,Consumer Cyclical,Travel Services,196.865,303.8,130.01,4525190,24122828800,20.088266,8.637382,18.781244,,0.08783,0.48672,0.057719998,0.114,0.89,1.382,254.692,4.61
GIS,Consumer Defensive,Packaged Foods,44.99,67.35,42.79,8125950,24005859328,9.675269,12.923965,2.5767472,,0.1351,0.27173,0.056810003,-0.072,5.38,-0.063,147.23,3.95
SW,Consumer Cyclical,Packaging & Containers,45.88,54.0,32.729,9545300,23967739904,31.424658,13.995998,1.3039277,,0.02242,0.03911,0.031689998,0.005,3.91,1.006,75.041,4.53
LH,Healthcare,Diagnostics & Research,286.4641,293.72,209.38,912930,23747874816,27.360468,14.857365,2.731768,,0.06282,0.10509,0.05154,0.056,1.01,0.996,75.561,4.17
CPAY,Technology,Software - Infrastructure,338.78,377.56,252.84,774270,23922741248,22.540253,11.422629,6.051588,,0.23625,0.29071,0.054980002,0.207,,0.808,236.52,4.7
BRO,Financial Services,Insurance Brokers,68.885,125.68,65.68,4836690,23518773248,21.799051,13.829108,1.8447058,,0.18289,0.11226,0.04241,0.362,0.91,0.786,62.976,5.24
EFX,Industrials,Consulting Services,193.6101,281.03,166.02,1864450,23696723968,36.461414,18.582907,5.062761,,0.1087,0.13757,0.06041,0.092,1.06,1.559,110.637,2.4
CMS,Utilities,Utilities - Regulated Electric,76.12,77.28,67.71,3702900,23324760064,21.56374,18.253498,2.6148193,,0.12542,0.108559996,0.031519998,0.123,2.99,0.481,194.861,5.03
IP,Consumer Cyclical,Packaging & Containers,44.045,57.07,35.56,6621590,23257446400,,15.144586,1.5667686,,-0.14877,-0.24678,0.023640001,0.311,4.17,1.071,69.583,6.99
AMCR,Consumer Cyclical,Packaging & Containers,50.365,52.25,38.35,5589020,23270932480,37.86842,11.397196,1.9991665,,0.03039,0.07734,0.03909,0.681,5.14,0.668,138.731,4.62
BG,Consumer Defensive,Farm Products,120.16,124.78,68.33,1369340,23234263040,28.40662,12.089395,1.4612671,,0.0116,0.05964,0.02506,0.755,2.31,0.754,91.006,3.11
VLTO,Industrials,Pollution & Treatment Controls,93.45,110.11,83.865,2575950,23203385344,24.853724,20.53828,7.476,,0.17082001,0.36498,0.11339,0.038,0.56,1.111,92.692,3.45
CTRA,Energy,Oil & Gas E&P,30.44,32.67,22.33,7890740,23176333312,14.092592,14.664297,1.5801495,,0.24691999,0.118549995,0.06279,0.349,2.86,0.36,27.957,2.57
DGX,Healthcare,Diagnostics & Research,209.32,213.2,157.2,1277400,23285252096,23.922287,18.234482,3.211316,,0.089899994,0.14751,0.06413,0.071,1.66,0.675,87.593,5.98
KEY,Financial Services,Banks - Regional,20.9245,23.35,12.73,17638450,23067189248,13.766118,9.8516445,1.2900432,,0.26102,0.09482,0.00984,1.315,3.9,1.068,,1.42
RL,Consumer Cyclical,Apparel Manufacturing,370.2,389.15,176.61,695080,22449172480,25.166553,20.720087,7.7670317,,0.11726,0.33846,0.09568,0.122,1.0,1.487,98.972,4.75
L,Financial Services,Insurance - Property & Casualty,108.345,114.9,78.98,771870,22390532096,13.594104,37.360344,1.1944503,,0.09033,0.09431,0.019650001,0.041,0.23,0.605,50.221,5.22
GPN,Industrials,Specialty Business Services,79.46,106.07,65.93,5066800,22249732096,12.057663,4.8968797,0.8216911,,0.18169,0.04824,0.02755,-0.0,1.26,0.75,93.316,3.06
TSN,Consumer Defensive,Farm Products,63.125,66.41,50.56,2588440,22224986112,112.72321,14.283064,1.2331511,,0.0036300002,0.012560001,0.02173,0.051,3.24,0.465,46.039,2.91
DOW,Basic Materials,Chemicals,30.895,39.57,20.402,11947180,22168215552,,54.948864,1.3842466,,-0.065630004,-0.13818,-0.00066,-0.091,5.78,0.753,111.871,2.11
LDOS,Technology,Information Technology Services,173.04,205.77,123.62,1378960,22124058624,15.519282,13.395241,4.448558,,0.084309995,0.31034002,0.09905,-0.036,0.97,0.62,107.658,2.95
ALB,Basic Materials,Specialty Chemicals,187.71,195.69,49.43,2489550,22121101312,,21.603798,3.0276296,,-0.09929,-0.04656,0.003,0.159,0.91,1.449,33.954,2.55
NI,Utilities,Utilities - Regulated Gas,46.095,47.05,35.64,4705560,21813655552,24.260527,20.773714,2.3336878,,0.13994001,0.0907,0.03368,0.198,2.6,0.651,139.284,2.33
SBAC,Real Estate,REIT - Specialty,200.86,245.16,177.49,900220,21404243968,25.26541,23.348211,-4.3466783,,0.30724,,0.0896,0.097,2.22,0.87,,3.42
JBHT,Industrials,Integrated Freight & Logistics,223.89,234.82,122.79,1096720,21318434816,36.523655,25.316212,5.9406176,,0.04986,0.15787,0.066589996,-0.016,0.81,1.263,49.755,2.42
IFF,Basic Materials,Specialty Chemicals,82.63,84.45,59.14,2220370,21177001984,,17.207127,1.4917586,,-0.03434,-0.02649,0.02327,-0.066,1.95,1.042,42.271,6.21
LULU,Consumer Cyclical,Apparel Retail,180.01,372.66,159.25,2062790,21347233792,12.526792,14.235801,4.7144017,,0.15720001,0.41017,0.20285,0.071,,1.014,39.156,1.49
CHRW,Industrials,Integrated Freight & Logistics,177.55,203.34,84.68,4139670,21061128192,36.683884,24.80684,11.393096,,0.036170002,0.32911,0.10045,-0.065,1.42,0.896,75.604,3.76
HUM,Healthcare,Healthcare Plans,174.605,315.35,169.61,2735960,21000280064,16.33349,11.07646,1.1924942,,0.00916,0.07039,0.043,0.113,1.95,0.441,74.815,2.99
NVR,Consumer Cyclical,Residential Construction,7472.57,8618.28,6562.85,26330,21217853440,17.130278,16.321081,5.4125013,,0.12836,0.33185002,0.18278,-0.05,,1.035,28.342,2.26
BR,Technology,Information Technology Services,178.226,271.91,163.71,1813920,20807655424,19.737099,17.219553,7.223816,,0.14864,0.41793,0.09175,0.078,2.22,0.979,117.175,3.06
DD,Basic Materials,Specialty Chemicals,50.8,52.66,22.497908,5953990,21283946496,241.90477,19.920397,1.4934149,,-0.11374,0.0051700003,0.01857,,1.6,1.16,24.484,1.96
CSGP,Real Estate,Real Estate Services,48.83,97.43,43.8,7386490,20695267328,813.8334,36.617924,2.4002163,,0.00664,0.00252,-0.00398,0.204,,0.85,13.126,2.45
CNC,Healthcare,Healthcare Plans,41.9059,66.03,25.08,5508680,20608106496,,10.146559,1.0328009,,-0.037890002,-0.28678,0.0101,0.232,,0.488,90.556,2.0
PFG,Financial Services,Asset Management,94.035,97.88,68.39,1962220,20658911232,13.788123,9.139363,1.7200792,,0.075840004,0.10524,0.00282,-0.037,3.38,0.883,34.915,4.35
PKG,Consumer Cyclical,Packaging & Containers,226.99,249.51,172.72,1073920,20424284160,26.486582,18.488594,4.2658477,,0.08611,0.16903,,0.101,2.22,0.898,91.618,3.1
TROW,Financial Services,Asset Management,93.61,118.22,77.85,2209330,20429164544,10.130953,9.155846,1.883956,,0.28533,0.18791,0.106479995,0.06,5.59,1.544,3.891,11.94
NTAP,Technology,Software - Infrastructure,101.79,127.78,71.84,2164240,20319156224,17.73345,12.058412,20.439758,,0.17733999,1.25346,0.10062,0.028,2.07,1.387,277.789,7.41
INCY,Healthcare,Biotechnology,100.82,112.29,53.56,2027490,20064638976,15.728549,11.599078,3.872033,,0.25026,0.2987,0.13571,0.278,,0.847,1.063,5.58
SNA,Industrials,Tools & Accessories,384.52,390.13,289.81,398150,19997945856,20.037518,17.936375,3.3622174,,0.19722,0.18327999,0.10032,0.031,2.53,0.787,21.711,9.06
MRNA,Healthcare,Biotechnology,50.825,55.2,22.28,11271170,19859036160,,-11.02906,2.3150678,,-1.4516499,-0.28868,-0.14511,-0.298,,1.338,15.087,5.08
ZBH,Healthcare,Medical Devices,99.61,114.44,84.59,2798720,19740864512,28.059156,11.071087,1.5336413,,0.08566,0.05599,0.03941,0.109,0.97,0.608,61.971,4.58
VRSN,Technology,Software - Infrastructure,213.62,310.6,208.86,838180,19802572800,24.219955,20.728374,-9.113092,,0.49842998,,0.51283,0.076,1.53,0.753,,3.8
LII,Industrials,Building Products & Equipment,557.935,689.44,443.19,509310,19568332800,24.470835,21.002817,16.691648,,0.1551,0.75833,0.16916999,-0.112,0.94,1.188,152.24,3.52
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,16.345,16.37,6.85,11158260,18869766144,,6.551706,1.2450486,,-0.26134002,-0.21087,0.02184,0.002,3.01,0.796,97.03,3.33
