Ticker,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário,Market Cap,P/L,P/L Futuro,P/VP,PEG Ratio,Margem Lucro,ROE,ROA,Crescimento Receita,Dividend Yield,Beta,Dívida/Patrimônio,Short Ratio
CRH,Basic Materials,Building Materials,121.11,131.55,76.75,5072420,81176715264,21.940218,18.288788,3.3736317,,0.10022,0.15684,0.06132,0.062,1.23,1.182,77.341,3.51
MCO,Financial Services,Financial Data & Stock Exchanges,449.64,546.88,378.71,2055490,80669245440,36.242146,24.068686,19.697163,,0.31861,0.62078,0.13834,0.13,0.94,1.439,176.813,2.98
BK,Financial Services,Banks - Diversified,116.3,128.76,70.46,4133570,81101701120,15.737484,12.430752,2.0275455,,0.2759,0.12898,0.012569999,0.078,1.83,1.094,,2.36
DELL,Technology,Computer Hardware,120.6,168.08,66.25,7173210,80826138624,16.122993,10.477218,-30.702648,,0.05005,,0.057490002,0.108,1.76,1.099,,3.75
ORLY,Consumer Cyclical,Auto Parts,94.515,108.72,85.552,5706680,79780495360,31.823233,26.4533,-104.20617,,0.14274,,0.13762,0.078,,0.616,,2.32
CTAS,Industrials,Specialty Business Services,198.045,229.24,180.39,1728400,79587688448,42.866882,36.620476,17.774635,,0.17584999,0.43396,0.15904,0.093,0.91,0.954,72.656,3.6
CDNS,Technology,Software - Application,290.83,376.45,221.56,3301790,79248261120,74.76349,30.880228,14.439699,,0.20934999,0.21855,0.10981,0.062,,1.005,48.707,2.38
CSX,Industrials,Railroads,42.275,42.52,26.22,12664550,78612766720,27.4513,20.259748,5.97611,,0.20501,0.22511,0.0686,-0.009,1.24,1.29,148.222,2.13
CL,Consumer Defensive,Household & Personal Products,97.17,100.18,74.55,6230000,78534811648,36.946766,23.444681,1450.2985,,0.1046,4.9747,0.16567,0.058,2.14,0.291,2188.493,2.13
MDLZ,Consumer Defensive,Confectioners,60.785,71.15,51.2,10347410,78434443264,32.161377,17.907753,3.0149796,,0.0636,0.09332,0.03243,0.093,3.31,0.401,84.848,2.82
MSI,Technology,Communication Equipment,466.645,492.22,359.36,1374270,77722050560,36.628334,25.711954,32.085052,,0.18439,1.04197,0.11395001,0.123,1.04,1.002,402.39,1.91
SLB,Energy,Oil & Gas Equipment & Services,51.5001,52.4,31.11,17380760,77009715200,21.914936,15.464102,2.949605,,0.09449001,0.13904001,0.067719996,0.05,2.3,0.701,45.975,2.39
